930830	1000.00	1000.00
940421	1050.99	874.08	SMSC	CPQ	WDC	PHG	KEA	XRX
940422	1054.15	875.08	SMSC	CPQ	WDC	PHG	KEA	XRX
940423	1059.10	870.30	CPQ	WDC	PHG	KEA
940425	1075.39	887.01	CPQ	WDC	PHG	KEA
940426	1081.41	898.48	CPQ	WDC	SMSC	KEA	PHG	MEOHF
940428	1080.24	896.86	CPQ	WDC	KEA	PHG	SMSC	XRX	MEOHF
940429	1085.98	901.57	CPQ	SMSC	WDC	KEA	PHG	BAY	MEOHF	XRX	DH
940502	1094.58	920.09	BAY	CPQ	WDC	SMSC	KEA	PHG	DH	SFE	LOTS	XRX
940503	1092.08	918.90	SMSC	CPQ	WDC	PHG	KEA	BAY	DH	XRX	SFE	MEOHF
940504	1090.89	912.32	CPQ	WDC	BAY	KEA	SMSC	PHG	ALRT	MSII	XRX	DH
940505	1090.79	912.82	CPQ	BAY	SMSC	ALRT	WDC	KEA	MSII	PHG	XRX	DH
940506	1087.39	909.94	CPQ	BAY	SMSC	WDC	KEA	ALRT	MSII	PHG	XRX	SFE
940509	1074.77	895.00	CPQ	BAY	SMSC	WDC	MSII	KEA	PHG	XRX	ALRT
940510	1072.62	870.75	CPQ	ALRT	WDC	KEA	MEOHF	XRX	PHG
940511	1058.50	853.58	GPTA	CPQ	BGEN	ALRT	LE	MEOHF	XRX	KEA	PHG
940512	1061.20	844.66	GIS	GGUY	BGEN	CPQ	AET	ALRT	MEOHF	PHG	PMTC
940513	1060.52	848.74	GIS	GGUY	CPQ	BGEN	MEOHF	ALRT	AET	PHG
940516	1053.27	836.67	FON	CPQ	MEOHF	NKE	GGUY	PBY	AET	PHG
940517	1055.84	840.20	ATSW	ADAC	PBY	CPQ	AET	MEOHF	PHG	DH
940518	1072.36	858.06	ATSW	PBY	AET	BGEN	CPQ	ADAC	NKE	WFC	MEOHF	FON
940519	1082.59	861.98	PBY	BGEN	NKE	CPQ	AET	WFC	GGUY	MEOHF	PHG	XRX
940520	1083.25	858.02	BGEN	GGUY	CPQ	CREAF	WFC	AET	MEOHF	XRX	PHG	DH
940523	1081.19	855.11	CREAF	CPQ	NKE	WFC	GIS	MEOHF	ATSW	XRX	PHG	WDC
940524	1088.47	854.42	CREAF	CPQ	WFC	NKE	KEA	PIR	XRX	ALRT	WDC	PHG
940525	1090.51	845.71	WFC	CPQ	NKE	CREAF	XRX	KEA	WDC	MSFT
940526	1089.35	844.16	CA	WFC	CPQ	CREAF	NKE	ATSW	WDC	XRX	MEOHF
940527	1089.64	838.72	CA	WFC	CPQ	GIS	CREAF	MEOHF	XRX	WDC	ATSW	MSFT
940531	1090.90	843.63	WFC	ATSW	CPQ	CA	FORE	GIS	CREAF	ALRT	WDC	MEOHF
940601	1094.76	845.96	WFC	CPQ	ATSW	AKLM	GIS	CREAF	WDC	MEOHF	MAT	ALRT
940602	1095.99	847.21	ATSW	CPQ	WFC	AKLM	GIS	ALRT	CREAF	WDC	AET	MEOHF
940603	1097.97	851.18	AKLM	WFC	GIS	CPQ	ATSW	AET	ALRT	MEOHF	CA	WDC
940606	1097.39	851.93	ATSW	WFC	CPQ	GIS	AET	AKLM	MEOHF	ALRT	TRMB	CA
940607	1090.79	840.15	WFC	GIS	CPQ	ALRT	AET	MEOHF	ATSW	FON	XRX	AKLM
940608	1087.34	837.83	CPQ	WFC	GIS	ALRT	AET	MEOHF	FON	XRX	MSFT	AKLM
940609	1077.01	822.56	WFC	ALRT	CREAF	CPQ	FNM	GIS	MEOHF	FON	XRX	PHG
940610	1079.44	823.40	WFC	ALRT	CREAF	CPQ	GIS	MEOHF	FNM	FON	XRX	PHG
940613	1084.51	839.14	CREAF	WFC	ALRT	FNM	CPQ	MEOHF	FON	GIS	GGUY	NETG
940614	1090.23	834.95	CREAF	ALRT	WFC	CPQ	GGUY	MEOHF	GIS	NETG	XRX	PHG
940615	1087.65	829.45	CREAF	ALRT	NETG	WFC	CPQ	MEOHF	GIS	MSFT	PHG
940616	1087.92	819.79	CREAF	NETG	ALRT	CPQ	MEOHF	WFC	FNM	GIS	MSFT	PHG
940617	1077.71	815.10	CREAF	ALRT	MEOHF	CPQ	WFC	GIS	AET
